#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2018 08 15 18 50 319  5.8  8.4  1.77  8.33  6.05 354 1020.3   8.3  10.3   6.3 99.0 99.00
2018 08 15 19 50 303  4.6  5.7  1.78  8.33  6.11 358 1020.3   8.3  10.3   6.5 99.0 99.00
2018 08 15 20 50 301  5.1  6.3  1.91  7.14  6.27 330 1020.2   8.9  10.4   6.6 99.0 99.00
2018 08 15 21 50 355  3.8  5.0  1.87 10.00  6.19 354 1020.3   7.8  10.4   7.2 99.0 99.00
2018 08 15 22 50 287  2.6  3.4  1.82  8.33  6.22 355 1020.3   8.1  10.5   6.7 99.0 99.00
2018 08 15 23 50 314  2.4  3.2  1.64  9.09  6.04 357 1019.9   8.7  10.5   6.8 99.0 99.00
2018 08 16 00 50 332  2.3  3.0  1.68  9.09  6.19 349 1019.7   8.7  10.6   7.7 99.0 99.00
2018 08 16 01 50 300  5.4  6.2  1.77  9.09  6.46 351 1019.1   9.3  10.7   7.0 99.0 99.00
2018 08 16 02 50 288  5.0  5.9  1.61  9.09  6.09   1 1018.9   9.3  10.7   7.0 99.0 99.00
2018 08 16 03 50 344  4.8  5.8  1.76  9.09  6.39   1 1018.6   8.6  10.7   7.7 99.0 99.00
2018 08 16 04 50 305  4.0  5.0  1.84  8.33  6.41   1 1018.5   8.9  10.7   7.0 99.0 99.00
2018 08 16 05 50 310  4.9  5.7  1.80  8.33  6.49   3 1018.2   8.8  10.6   7.0 99.0 99.00
2018 08 16 06 50 302  3.5  7.3  1.76  9.09  6.28   5 1018.1   8.2  10.6   7.7 99.0 99.00
2018 08 16 07 50 307  2.1  3.0  1.84  9.09  6.75   9 1018.1   8.3  10.6   7.5 99.0 99.00
2018 08 16 08 50 342  3.6  4.7  1.72  8.33  6.39 360 1017.7   8.1  10.5   7.6 99.0 99.00
2018 08 16 09 50 348  5.7  7.0  1.72  9.09  6.54   7 1017.6   8.2  10.5   7.0 99.0 99.00
2018 08 16 10 50 325  4.1  5.7  1.56  9.09  6.25   7 1017.5   8.9  10.5   5.6 99.0 99.00
2018 08 16 11 50 343  6.0  7.0  1.39  8.33  6.02 351 1017.1   8.5  10.5   5.9 99.0 99.00
2018 08 16 12 50 255  2.8  3.7  1.35  9.09  6.17 359 1016.9   7.9  10.5   6.3 99.0 99.00
2018 08 16 13 50 289  1.8  2.5  1.26  9.09  6.12   4 1016.6   8.4  10.5   5.8 99.0 99.00
2018 08 16 14 50 200  1.0  1.9  1.24  8.33  6.14   2 1016.2   8.1  10.5   5.8 99.0 99.00
2018 08 16 15 50 203  1.4  2.2  1.44  8.33  6.52  11 1015.9   8.5  10.4   5.1 99.0 99.00
2018 08 16 16 50 342  1.4  3.3  1.34  8.33  6.29   9 1015.6   8.7  10.4   4.5 99.0 99.00
2018 08 16 17 50 122  2.8  3.7  1.34  7.69  6.21   5 1015.3   7.9  10.4   5.4 99.0 99.00
2018 08 16 18 50 186  1.5  2.2  1.38  7.69  6.36  15 1015.0   8.5  10.4   4.5 99.0 99.00
2018 08 16 19 50 204  1.0  1.6  1.30  7.69  6.39  14 1015.2   8.9  10.5   4.4 99.0 99.00
2018 08 16 20 50 263  0.6  1.1  1.28  7.14  6.08   3 1015.2   9.3  10.5   4.7 99.0 99.00
2018 08 16 21 50 313  0.8  1.8  1.26  6.67  6.02 359 1015.0   9.3  10.7   4.8 99.0 99.00
2018 08 16 22 50  26  3.0  4.0  1.21  7.69  6.10   5 1014.7   9.5  10.8   5.4 99.0 99.00
2018 08 16 23 50  16  3.1  3.8  1.14  7.14  5.88   7 1014.3   9.6  10.8   5.0 99.0 99.00
2018 08 17 00 50   6  3.4  4.2  1.03  7.69  5.78   9 1014.1   9.7  10.9   5.6 99.0 99.00
2018 08 17 01 50 353  4.1  4.8  1.00  7.69  5.81 360 1013.8   9.4  10.9   5.7 99.0 99.00
2018 08 17 02 50   3  3.4  4.3  0.89  7.14  5.71  12 1013.7   9.3  10.9   7.2 99.0 99.00
2018 08 17 03 50 359  3.1  3.9  0.99  7.14  5.81  10 1013.4   9.2  10.8   7.8 99.0 99.00
2018 08 17 04 50  35  3.2  5.1  0.89  7.69  5.71   8 1013.3   9.4  10.8   7.8 99.0 99.00
2018 08 17 05 50  80  3.6  4.5  0.91  7.14  5.81   9 1013.4   9.4  10.8   7.4 99.0 99.00
2018 08 17 06 50  75  3.1  3.6  0.91  6.67  5.56 356 1013.8   9.4  10.7   6.8 99.0 99.00
2018 08 17 07 50  67  4.7  5.6  0.88  6.25  5.40   1 1014.1   9.5  10.7   6.8 99.0 99.00
2018 08 17 08 50  46  5.0  5.7  0.87  6.67  5.16 358 1014.2   9.4  10.7   6.8 99.0 99.00
2018 08 17 09 50  39  5.9  6.7  0.86  6.25  5.10 357 1014.2   9.2  10.7   7.2 99.0 99.00
2018 08 17 10 50  40  4.2  5.0  0.79  6.25  5.04   1 1014.4   9.3  10.6   6.8 99.0 99.00
2018 08 17 11 50  20  5.7  6.6  0.80  5.56  4.96 347 1014.4   9.4  10.6   6.3 99.0 99.00
2018 08 17 12 50  16  4.6  5.6  0.75  5.88  4.67   3 1014.6   9.1  10.6   5.7 99.0 99.00
2018 08 17 13 50   2  3.5  4.9  0.76  5.88  4.85  16 1014.9   8.5  10.6   6.6 99.0 99.00
2018 08 17 14 50   1  6.7  7.9  0.75  6.67  4.95  20 1014.8   8.9  10.6   7.1 99.0 99.00
2018 08 17 15 50  32  6.3  7.8  0.78  6.25  4.44  20 1015.1   8.6  10.5   7.9 99.0 99.00
2018 08 17 16 50  10  7.2  8.7  0.80  6.25  4.45  25 1015.3   8.9  10.5   7.4 99.0 99.00
2018 08 17 17 50  27  6.7  7.8  0.79  5.88  4.32  20 1015.6   9.3  10.5   7.4 99.0 99.00
2018 08 17 18 50  23  6.8  8.7  0.85  5.26  4.19  22 1016.1   8.7  10.5   8.2 99.0 99.00
2018 08 17 19 50  13  5.8  6.7  0.84 12.90  4.22 145 1016.6   9.1  10.5   7.7 99.0 99.00
