#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2016 01 25 23 58 999 99.0 99.0  5.82 15.38 10.92 262 9999.0 999.0   7.2 999.0 99.0 99.00
2016 01 26 00 28 999 99.0 99.0  5.64 14.29 10.94 251 9999.0 999.0   7.2 999.0 99.0 99.00
2016 01 26 00 58 999 99.0 99.0  5.02 14.29 10.69 255 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 26 01 28 999 99.0 99.0  5.32 14.29 10.51 256 9999.0 999.0   7.2 999.0 99.0 99.00
2016 01 26 01 58 999 99.0 99.0  4.99 13.33 10.36 249 9999.0 999.0   7.2 999.0 99.0 99.00
2016 01 26 02 28 999 99.0 99.0  5.35 14.29 10.24 255 9999.0 999.0   7.2 999.0 99.0 99.00
2016 01 26 02 58 999 99.0 99.0  5.39 14.29 10.65 259 9999.0 999.0   7.2 999.0 99.0 99.00
2016 01 26 03 28 999 99.0 99.0  5.34 14.29 10.23 264 9999.0 999.0   7.2 999.0 99.0 99.00
2016 01 26 03 58 999 99.0 99.0  5.23 14.29 10.18 255 9999.0 999.0   7.2 999.0 99.0 99.00
2016 01 26 04 28 999 99.0 99.0  5.20 13.33  9.84 256 9999.0 999.0   7.2 999.0 99.0 99.00
2016 01 26 04 58 999 99.0 99.0  5.76 13.33 10.24 259 9999.0 999.0   7.2 999.0 99.0 99.00
2016 01 26 05 28 999 99.0 99.0  5.01 14.29  9.80 261 9999.0 999.0   7.2 999.0 99.0 99.00
2016 01 26 05 58 999 99.0 99.0  5.51 14.29  9.97 262 9999.0 999.0   7.2 999.0 99.0 99.00
2016 01 26 06 28 999 99.0 99.0  5.21 14.29  9.89 258 9999.0 999.0   7.2 999.0 99.0 99.00
2016 01 26 06 58 999 99.0 99.0  5.16 13.33  9.90 266 9999.0 999.0   7.2 999.0 99.0 99.00
2016 01 26 07 28 999 99.0 99.0  5.04 12.50  9.83 271 9999.0 999.0   7.2 999.0 99.0 99.00
2016 01 26 07 58 999 99.0 99.0  4.53 13.33  9.34 258 9999.0 999.0   7.2 999.0 99.0 99.00
2016 01 26 08 28 999 99.0 99.0  4.45 13.33  9.29 259 9999.0 999.0   7.1 999.0 99.0 99.00
