YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2006 01 07 20 00 999  3.9  4.8  2.32 14.81  7.36 999  990.3   1.4   3.8  -1.0 99.0 99.00
2006 01 07 21 00 999  5.8  6.9  2.27 13.79  7.49 999  990.6   2.9   3.7  -3.1 99.0 99.00
2006 01 07 22 00 999  7.2  8.9  2.41 13.79  7.51 999  991.2   2.8   3.7  -3.9 99.0 99.00
2006 01 07 23 00 999  7.4  8.7  2.13 13.79  7.25 999  991.4   2.3   3.7  -3.7 99.0 99.00
2006 01 08 00 00 999  6.0  7.7  2.12 12.90  6.91 999  991.7   1.9   3.8  -3.1 99.0 99.00
2006 01 08 01 00 999  5.7  6.7  2.26 13.79  7.16 999  992.3   2.0   3.8  -3.2 99.0 99.00
2006 01 08 02 00 999  4.7  6.1  2.02 12.90  7.03 999  992.8   2.2   3.8  -2.9 99.0 99.00
2006 01 08 03 00 999  4.5  6.1  1.98 12.12  6.94 999  993.4   2.2   3.8  -2.6 99.0 99.00
2006 01 08 04 00 999  6.1  7.2  1.80 12.90  6.83 999  994.0   2.2   3.8  -2.5 99.0 99.00
2006 01 08 05 00 999  6.1  8.5  1.87 13.79  6.72 999  994.7   1.9   3.8  -1.8 99.0 99.00
2006 01 08 06 00 999  5.6  6.8  1.80 13.79  6.83 999  995.2   1.3   3.8  -1.1 99.0 99.00
2006 01 08 07 00 999  5.4  6.3  1.87 12.90  6.78 999  995.7   1.9   3.8  -2.3 99.0 99.00
2006 01 08 08 00 999  6.0  6.8  1.93  6.25  6.68 999  996.0   2.5   3.7  -1.8 99.0 99.00
2006 01 08 09 00 999  5.2  6.6  1.97 12.90  6.82 999  996.3   2.6   3.7  -1.7 99.0 99.00
2006 01 08 10 00 999  4.0  4.9  1.91 12.90  6.80 999  996.9   2.6   3.7  -2.7 99.0 99.00
2006 01 08 11 00 999  2.8  3.8  1.88 12.12  6.76 999  997.1   2.5   3.7  -3.0 99.0 99.00
2006 01 08 12 00 999  1.8  3.1  2.18 12.12  7.14 999  997.3   2.4   3.7  -3.1 99.0 99.00
2006 01 08 13 00 999  2.0  2.8  2.30 12.90  7.03 999  997.3   2.4   3.7  -3.2 99.0 99.00
2006 01 08 14 00 999  2.2  3.0  2.11  7.14  6.73 999  997.4   2.3   3.7  -3.8 99.0 99.00
2006 01 08 15 00 999  2.5  4.1  2.25  7.69  6.77 999  997.3   2.1   3.7  -1.8 99.0 99.00
2006 01 08 16 00 999  6.2  7.7  2.35 12.12  6.75 999  997.1   1.7   3.7  -0.7 99.0 99.00
2006 01 08 17 00 999  6.2  7.2  2.40  7.14  6.90 999  996.9   1.4   3.7  -0.6 99.0 99.00
2006 01 08 18 00 999  5.7  6.4  2.32  7.69  6.89 999  997.0   1.2   3.7  -1.0 99.0 99.00
2006 01 08 19 00 999  5.0  6.1  2.31  7.69  6.70 999  997.0   1.4   3.7  -1.4 99.0 99.00
2006 01 08 20 00 999  5.2  6.2  2.33  7.69  6.95 999  997.1   1.3   3.7  -1.1 99.0 99.00
2006 01 08 21 00 999  3.9  4.8  2.30  7.69  6.88 999  997.1   1.7   3.7  -2.0 99.0 99.00
2006 01 08 22 00 999  4.7  5.6  2.16  7.69  6.82 999  996.8   1.6   3.7  -1.3 99.0 99.00
2006 01 08 23 00 999  6.8  9.5  2.08  7.69  6.50 999  996.6   0.7   3.7  -2.6 99.0 99.00
2006 01 09 00 00 999  2.9  4.0  2.08  7.69  6.56 999  995.6   1.5   3.7  -3.5 99.0 99.00
2006 01 09 01 00 999  5.7  8.2  2.12  7.69  6.62 999  994.9   0.9   3.7  -1.3 99.0 99.00
2006 01 09 02 00 999  4.7  6.8  1.96  7.14  6.39 999  994.6   1.8   3.7  -2.5 99.0 99.00
2006 01 09 03 00 999  7.6  9.0  1.91  7.14  6.20 999  994.3   2.3   3.7  -3.1 99.0 99.00
2006 01 09 04 00 999  8.2  9.5  1.98  7.14  6.11 999  994.1   2.2   3.7  -4.3 99.0 99.00
2006 01 09 05 00 999  8.2  9.5  2.09  7.14  6.11 999  994.0   2.1   3.7  -4.5 99.0 99.00
2006 01 09 06 00 999  8.1 10.0  2.05  6.67  5.84 999  993.7   2.2   3.7  -4.0 99.0 99.00
2006 01 09 07 00 999  9.6 11.3  2.09  7.69  5.62 999  993.7   2.2   3.7  -4.0 99.0 99.00
2006 01 09 08 00 999  7.9  9.3  1.83  7.14  5.67 999  993.5   1.0   3.7  -1.2 99.0 99.00
2006 01 09 09 00 999  5.4  7.0  1.74  6.67  5.54 999  993.7  -0.1   3.7  -1.0 99.0 99.00
2006 01 09 10 00 999 10.6 13.7  1.66  4.55  5.52 999  993.9   0.0   3.7  -0.9 99.0 99.00
2006 01 09 11 00 999  7.5  8.9  1.60  7.69  5.68 999  993.5   0.1   3.7  -0.8 99.0 99.00
2006 01 09 12 00 999  6.6  7.9  1.59  6.67  5.51 999  993.1   0.9   3.7  -1.7 99.0 99.00
2006 01 09 13 00 999  5.9  7.4  1.46  6.25  5.61 999  993.1   0.5   3.7  -1.0 99.0 99.00
2006 01 09 14 00 999  5.6  7.2  1.46  7.14  5.78 999  993.1  -0.1   3.7  -1.6 99.0 99.00
2006 01 09 15 00 999  2.3  3.5  1.37  6.25  5.68 999  992.9   0.5   3.7  -2.0 99.0 99.00
2006 01 09 16 00 999  3.5  4.6  1.46  6.25  5.60 999  992.9   0.3   3.7  -2.4 99.0 99.00
2006 01 09 17 00 999  4.1  5.6  1.31  7.14  5.39 999  992.8   0.6   3.7  -2.5 99.0 99.00
2006 01 09 18 00 999  2.9  4.3  1.29  6.25  5.52 999  992.6   0.4   3.7  -3.1 99.0 99.00
2006 01 09 19 00 999  0.7  1.7  1.36  6.67  5.31 999  992.6   0.4   3.7  -3.6 99.0 99.00
2006 01 09 20 00 999  1.3  2.1  1.36  5.56  5.42 999  992.9   0.5   3.6  -3.6 99.0 99.00
2006 01 09 21 00 999  2.5  3.4  1.33  5.88  5.38 999  993.1   0.8   3.6  -4.1 99.0 99.00
2006 01 09 22 00 999  2.0  3.0  1.31  6.25  5.47 999  993.1   0.7   3.6  -4.0 99.0 99.00
2006 01 09 23 00 999  2.5  3.4  1.23  6.25  5.42 999  992.8   0.9   3.7  -4.4 99.0 99.00
2006 01 10 00 00 999  2.0  2.8  1.27  5.88  5.52 999  992.4   0.7   3.7  -4.3 99.0 99.00
2006 01 10 01 00 999  2.9  3.8  1.13  6.67  5.47 999  992.1   0.8   3.7  -4.3 99.0 99.00
2006 01 10 02 00 999  2.8  3.7  1.12  6.67  5.50 999  992.0   0.7   3.7  -3.6 99.0 99.00
2006 01 10 03 00 999  8.7 10.6  1.03  6.25  5.45 999  992.4  -0.1   3.7  -1.7 99.0 99.00
2006 01 10 04 00 999 11.9 14.5  1.10  6.25  5.22 999  993.1  -0.7   3.7  -2.7 99.0 99.00
2006 01 10 05 00 999 10.3 12.3  1.36  5.88  4.86 999  993.4  -1.1   3.7  -3.5 99.0 99.00
2006 01 10 06 00 999  9.8 11.7  1.71  6.25  5.25 999  993.6  -1.6   3.7  -4.0 99.0 99.00
2006 01 10 07 00 999  8.3 10.4  1.69  6.25  5.48 999  993.7  -1.8   3.7  -4.4 99.0 99.00
2006 01 10 08 00 999  7.6  9.9  1.56 19.05  5.33 999  993.9  -1.4   3.7  -6.9 99.0 99.00
